family,trial_number,objective_value,params,runtime_seconds,inner_pr_auc,inner_roc_auc,precision_top1pct,recall_top1pct,fdr_top1pct,lift_top1pct,fp_per_tp_top1pct,threshold_fpr5,fpr_at_fpr5,fdr_at_fpr5,recall_at_fpr5,precision_at_fpr5,guardrail_feasible,inner_housing_status_fpr_gap,inner_housing_status_alert_rate_gap,inner_customer_age_group_fpr_gap,inner_customer_age_group_alert_rate_gap,inner_income_group_fpr_gap,inner_income_group_alert_rate_gap,inner_employment_status_fpr_gap,inner_employment_status_alert_rate_gap,inner_max_fpr_gap,inner_max_alert_rate_gap,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,param_scale_pos_weight,param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_lambda,param_num_leaves,param_min_child_samples,param_C,param_class_weight
XGBoost,0,0.4699287370282,"{'n_estimators': 220, 'max_depth': 7, 'learning_rate': 0.08310681548584713, 'subsample': 0.8795975452591109, 'colsample_bytree': 0.6624074561769746, 'min_child_weight': 2.403950683025824, 'gamma': 0.2904180608409973, 'reg_lambda': 6.32320406940339, 'scale_pos_weight': 139.11204607092085}",13.934154033660889,0.17345865277201583,0.8874842439164351,0.2730318257956449,0.2310418143160879,0.7269681742043551,23.089281750116044,2.6625766871165646,0.6946223974227905,0.04998643055838252,0.8897946859903382,0.517363571934798,0.11020531400966184,False,0.20572229107171722,0.22628152128978918,0.11117086507598706,0.12897656873684293,0.043709094181201655,0.04870583070639038,0.0830772754501568,0.09633249995658257,0.20572229107171722,0.22628152128978918,,,0.08310681548584713,,,,139.11204607092085,220.0,7.0,0.8795975452591109,0.6624074561769746,2.403950683025824,0.2904180608409973,6.32320406940339,,,,
XGBoost,1,0.4945617692509467,"{'n_estimators': 340, 'max_depth': 3, 'learning_rate': 0.13203799189282112, 'subsample': 0.9497327922401265, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2.636424704863906, 'gamma': 0.9170225492671691, 'reg_lambda': 0.4291160572073618, 'scale_pos_weight': 127.74448533813641}",13.388495683670044,0.19179621923967521,0.8969337678055044,0.2897822445561139,0.24521615875265768,0.7102177554438861,24.505802102883898,2.4508670520231215,0.7763670682907104,0.04970656082502205,0.8856149894227864,0.5364989369241673,0.11438501057721366,False,0.209278517161485,0.2305704836709384,0.1477565304735859,0.16696239281674632,0.04361960315798197,0.04875952097599213,0.10687010348027297,0.12145113659694423,0.209278517161485,0.2305704836709384,,,0.13203799189282112,,,,127.74448533813641,340.0,3.0,0.9497327922401265,0.6849356442713105,2.636424704863906,0.9170225492671691,0.4291160572073618,,,,
XGBoost,2,0.49428605922146324,"{'n_estimators': 220, 'max_depth': 4, 'learning_rate': 0.06578178860634384, 'subsample': 0.7418481581956126, 'colsample_bytree': 0.7168578594140873, 'min_child_weight': 4.297256589643226, 'gamma': 2.28034992108518, 'reg_lambda': 4.290650438469192, 'scale_pos_weight': 79.34918050535526}",12.215475082397461,0.1920143692913071,0.8963030195758189,0.2864321608040201,0.24238128986534374,0.7135678391959799,24.22249803233033,2.491228070175439,0.6807442903518677,0.04980833163715313,0.8856884331171769,0.5372076541459957,0.11431156688282311,False,0.21646280103026613,0.2374961936141271,0.14441611858273268,0.1629883442641881,0.04373114753985848,0.04885431797176202,0.10041814957069195,0.11350067957199217,0.21646280103026613,0.2374961936141271,,,0.06578178860634384,,,,79.34918050535526,220.0,4.0,0.7418481581956126,0.7168578594140873,4.297256589643226,2.28034992108518,4.290650438469192,,,,
XGBoost,3,0.48201515335887374,"{'n_estimators': 260, 'max_depth': 5, 'learning_rate': 0.021891985328248584, 'subsample': 0.8822634555704315, 'colsample_bytree': 0.6682096494749166, 'min_child_weight': 1.5854643368675156, 'gamma': 4.7444276862666666, 'reg_lambda': 10.179442973721754, 'scale_pos_weight': 169.9703274078973}",14.133257389068604,0.1761380338168547,0.8910585229532971,0.2696817420435511,0.22820694542877393,0.7303182579564489,22.805977679562474,2.7080745341614905,0.8045053482055664,0.04978288893412036,0.8869749168933212,0.5301204819277109,0.11302508310667876,False,0.23112989001527987,0.25223671201997866,0.13951341534315004,0.15827471053568007,0.043203291988263275,0.04838829055409597,0.10226752175904717,0.11611229151009628,0.23112989001527987,0.25223671201997866,,,0.021891985328248584,,,,169.9703274078973,260.0,5.0,0.8822634555704315,0.6682096494749166,1.5854643368675156,4.7444276862666666,10.179442973721754,,,,
XGBoost,4,0.4872046346521692,"{'n_estimators': 180, 'max_depth': 3, 'learning_rate': 0.07573105121823548, 'subsample': 0.8320457481218804, 'colsample_bytree': 0.6488152939379115, 'min_child_weight': 5.456592191001432, 'gamma': 0.17194260557609198, 'reg_lambda': 7.773953286728962, 'scale_pos_weight': 88.14836601745688}",10.849802732467651,0.18565932051760037,0.8945058379132603,0.28224455611390287,0.23883770375620128,0.7177554438860971,23.868367944138367,2.543026706231454,0.6988825798034668,0.049893140647262364,0.8869289914066033,0.5315379163713678,0.11307100859339665,False,0.22722621126740647,0.24835114470675257,0.1477944403747916,0.165988001273852,0.044726722942179595,0.04997025480700677,0.10470065893794707,0.11793668002020279,0.22722621126740647,0.24835114470675257,,,0.07573105121823548,,,,88.14836601745688,180.0,3.0,0.8320457481218804,0.6488152939379115,5.456592191001432,0.17194260557609198,7.773953286728962,,,,
XGBoost,5,0.49698728852875457,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05502226459643869, 'subsample': 0.8640130838029838, 'colsample_bytree': 0.6739417822102108, 'min_child_weight': 9.726261649881026, 'gamma': 3.8756641168055728, 'reg_lambda': 8.982321178991384, 'scale_pos_weight': 182.8372285338647}",13.97685718536377,0.19098041130901836,0.8961992352258858,0.29061976549413737,0.24592487597448617,0.7093802345058626,24.576628120522294,2.440922190201729,0.8243817687034607,0.049596309111880045,0.8849878934624698,0.5386250885896527,0.11501210653753027,False,0.21397404506254972,0.23523748531391883,0.14785247654616096,0.16606385207580282,0.04371672539640177,0.04897768718413469,0.10443696630137307,0.11714945659220517,0.21397404506254972,0.23523748531391883,,,0.05502226459643869,,,,182.8372285338647,300.0,4.0,0.8640130838029838,0.6739417822102108,9.726261649881026,3.8756641168055728,8.982321178991384,,,,
XGBoost,6,0.483393610700484,"{'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.023758271212060693, 'subsample': 0.7587948587257435, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 3.927972976869379, 'gamma': 1.9433864484474102, 'reg_lambda': 0.3665927045903196, 'scale_pos_weight': 172.9983828739533}",17.345633268356323,0.17404016478976772,0.8909875893223401,0.26716917922948075,0.22608079376328843,0.7328308207705192,22.593499626647294,2.74294670846395,0.7778680324554443,0.04994402605332791,0.8868975903614458,0.5322466335931963,0.11310240963855421,False,0.21080341623774765,0.231581892620767,0.1258361817356875,0.14438028459956712,0.04429810750454009,0.0495293699592738,0.09302829557066845,0.10631213301863429,0.21080341623774765,0.231581892620767,,,0.023758271212060693,,,,172.9983828739533,300.0,7.0,0.7587948587257435,0.6180909155642152,3.927972976869379,1.9433864484474102,0.3665927045903196,,,,
XGBoost,7,0.49089681848618555,"{'n_estimators': 220, 'max_depth': 4, 'learning_rate': 0.05749914566104805, 'subsample': 0.7422772674924287, 'colsample_bytree': 0.9208787923016158, 'min_child_weight': 1.6709557931179373, 'gamma': 4.9344346830025865, 'reg_lambda': 4.0330800458792, 'scale_pos_weight': 79.20654732624506}",12.10235071182251,0.19002725939519025,0.8961085659191885,0.2847571189279732,0.24096385542168675,0.7152428810720268,24.08084599705354,2.511764705882353,0.6787686347961426,0.049765927132098514,0.8861371186952582,0.5343727852586818,0.11386288130474177,False,0.2180514501394759,0.23914305042019485,0.14447669527282234,0.16325216647550056,0.04337548310644604,0.04840770887393485,0.10052738527314799,0.1141535825565182,0.2180514501394759,0.23914305042019485,,,0.05749914566104805,,,,79.20654732624506,220.0,4.0,0.7422772674924287,0.9208787923016158,1.6709557931179373,4.9344346830025865,4.0330800458792,,,,
XGBoost,8,0.4691941064794916,"{'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.07913958189847552, 'subsample': 0.9187021504122962, 'colsample_bytree': 0.9085081386743783, 'min_child_weight': 1.6664018656068134, 'gamma': 1.7923286427213632, 'reg_lambda': 0.17414570810812344, 'scale_pos_weight': 178.1144634103688}",9.785953998565674,0.1757341192922886,0.8858579695393444,0.26549413735343386,0.22466335931963147,0.7345058626465661,22.45184759137051,2.7665615141955837,0.7857510447502136,0.0499779496573716,0.8895094339622641,0.518781006378455,0.11049056603773585,False,0.21337356538606606,0.23351591566763125,0.11861270826189454,0.1367417409330024,0.04290038755823851,0.04817698363929279,0.09500569670061196,0.10768840607120793,0.21337356538606606,0.23351591566763125,,,0.07913958189847552,,,,178.1144634103688,100.0,7.0,0.9187021504122962,0.9085081386743783,1.6664018656068134,1.7923286427213632,0.17414570810812344,,,,
XGBoost,9,0.48390726403704315,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.022633047397742998, 'subsample': 0.7932946965146986, 'colsample_bytree': 0.7300733288106989, 'min_child_weight': 7.566455605042576, 'gamma': 3.1877873567760657, 'reg_lambda': 6.993202362581504, 'scale_pos_weight': 119.92259073343072}",13.843763828277588,0.17610150677532954,0.8917853409783816,0.26884422110552764,0.22749822820694543,0.7311557788944724,22.73515166192408,2.7196261682242993,0.7511757016181946,0.04992706425130606,0.8868635131063574,0.5322466335931963,0.11313648689364267,False,0.23600805929434646,0.2569324289949134,0.13869944080502017,0.15724954126514182,0.042405867562347,0.047637847632186134,0.09813946932591001,0.11181061150535725,0.23600805929434646,0.2569324289949134,,,0.022633047397742998,,,,119.92259073343072,300.0,4.0,0.7932946965146986,0.7300733288106989,7.566455605042576,3.1877873567760657,6.993202362581504,,,,
