model,feature_policy,threshold_policy,attribute,max_fpr_gap,max_tpr_gap,fpr_ratio_worst_to_best,tpr_ratio_worst_to_best,equal_opportunity_difference,equalized_odds_difference,disparate_impact_ratio_alert_positive,disparate_impact_ratio_approval_positive,worst_fpr_group,lowest_tpr_group
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_business_fdr30,customer_age_group,0.0,0.0078125,,0.0,0.0078125,0.0078125,0.0,0.9996600951733514,10-20,10-20
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_business_fdr30,employment_status,0.0,0.011904761904761904,,0.0,0.011904761904761904,0.011904761904761904,0.0,0.9995584988962473,CA,CB
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_business_fdr30,housing_status,0.0,0.0055617352614015575,,0.0,0.0055617352614015575,0.0055617352614015575,0.0,0.9997393389636117,BA,BB
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_business_fdr30,income_group,0.0,0.004317789291882556,,0.0,0.004317789291882556,0.004317789291882556,0.0,0.9999223771229857,high_0.7_0.9,low_0.1_0.3
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,0.0764831323639373,0.43599759615384615,15.789226180031585,0.260825267447784,0.43599759615384615,0.43599759615384615,0.05754954605809542,0.897493134790684,51+,10-20
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_cost_sensitive_10_to_1,employment_status,0.0596183592624913,0.5476190476190477,134.723979825768,0.0,0.5476190476190477,0.5476190476190477,0.00568233133636391,0.9222638356462617,CC,CF
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_cost_sensitive_10_to_1,housing_status,0.10146037302412077,0.5617352614015573,77.82644738281464,0.0,0.5617352614015573,0.5617352614015573,0.0,0.8769679908247315,BA,BG
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_cost_sensitive_10_to_1,income_group,0.022789592360132678,0.14338537863244888,4.243718645925552,0.6731490778417799,0.14338537863244888,0.14338537863244888,0.2450186174243229,0.9716826204768104,high_0.7_0.9,low_0.1_0.3
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_global_5pct_fpr,customer_age_group,0.12881412327252223,0.472240199704142,11.56453485487472,0.33937982992207455,0.472240199704142,0.472240199704142,0.08066408489111282,0.8402998426209859,51+,10-20
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,with_housing_status,valid_global_5pct_fpr,employment_status,0.10932778520830237,0.6309523809523809,62.30555555555556,0.0,0.6309523809523809,0.6309523809523809,0.016873889875666074,0.8703534537277774,CG,CF
