model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22669,22669,1196,21473,254,85245,0.052759274780537296,0.9472407252194627,0.8248275862068966,0.20121254146442025,0.17517241379310344,0.7987874585355798,0.7987874585355798,0.20957214703054508,0.013405073589231566,3.935769127214592,3.935769127214592,17.954013377926422,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
anomaly_recency_gate | Logistic Regression | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,validation,valid_global_5pct_fpr,0.8378833443398142,6027,6027,734,5293,716,101425,0.12178529948564792,0.8782147005143521,0.5062068965517241,0.04959800595963193,0.49379310344827587,0.9504019940403681,0.9504019940403681,0.05571888173951631,0.013405073589231566,9.085015361905906,9.085015361905906,7.2111716621253406,0.1682899031327555,0.8857490996251158,12.554194649699237,108168
anomaly_recency_gate | Logistic Regression | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,default_0_50,0.5,23637,23637,1224,22413,204,73002,0.05178322122096713,0.9482167787790329,0.8571428571428571,0.2349001729287848,0.14285714285714285,0.7650998270712153,0.7650998270712153,0.2440754623462718,0.014745515938167962,3.5117944626765545,3.5117944626765545,18.311274509803923,0.20024967317820028,0.888064508410921,13.580377520725804,96843
anomaly_recency_gate | Logistic Regression | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_global_5pct_fpr,0.8378833443398142,6202,6202,809,5393,619,90022,0.13044179297000968,0.8695582070299903,0.5665266106442577,0.05652151129277367,0.4334733893557423,0.9434784887072263,0.9434784887072263,0.06404179961380792,0.014745515938167962,8.846200669884208,8.846200669884208,6.666254635352287,0.20024967317820028,0.888064508410921,13.580377520725804,96843
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,default_0_50,0.5,23090,23090,1198,21892,252,84826,0.05188393243828497,0.9481160675617151,0.8262068965517242,0.20513877696358626,0.17379310344827587,0.7948612230364137,0.7948612230364137,0.21346424081059093,0.013405073589231566,3.8704697958513163,3.8704697958513163,18.273789649415694,0.17566899908451408,0.8897823816684773,13.104665029637047,108168
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8050779700279236,6048,6048,755,5293,695,101425,0.12483465608465609,0.875165343915344,0.5206896551724138,0.04959800595963193,0.4793103448275862,0.9504019940403681,0.9504019940403681,0.05591302418460173,0.013405073589231566,9.312493158182813,9.312493158182813,7.010596026490067,0.17566899908451408,0.8897823816684773,13.104665029637047,108168
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,test,default_0_50,0.5,18295,18295,1156,17139,272,78276,0.06318666302268379,0.9368133369773162,0.8095238095238095,0.17962584499292564,0.19047619047619047,0.8203741550070743,0.8203741550070743,0.18891401546833533,0.014745515938167962,4.285144262679108,4.285144262679108,14.826124567474048,0.20994471601076242,0.894423905389856,14.237868440217273,96843
anomaly_recency_gate | XGBoost | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,test,valid_global_5pct_fpr,0.8050779700279236,4703,4703,762,3941,666,91474,0.16202423984690623,0.8379757601530937,0.5336134453781513,0.04130377823193418,0.46638655462184875,0.9586962217680658,0.9586962217680658,0.04856313827535289,0.014745515938167962,10.988034635499957,10.988034635499957,5.171916010498688,0.20994471601076242,0.894423905389856,14.237868440217273,96843
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,default_0_50,0.5,22844,22844,1181,21663,269,85055,0.05169847662405883,0.9483015233759412,0.8144827586206896,0.2029929346501996,0.18551724137931033,0.7970070653498004,0.7970070653498004,0.21119000073959027,0.013405073589231566,3.8566350479111695,3.8566350479111695,18.342929720575782,0.16900062812569555,0.8840915438755442,12.607213753862231,108168
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,validation,valid_global_5pct_fpr,0.830408820165483,5964,5964,723,5241,727,101477,0.12122736418511067,0.8787726358148893,0.4986206896551724,0.049110740456155474,0.5013793103448276,0.9508892595438445,0.9508892595438445,0.05513645440426004,0.013405073589231566,9.04339415805176,9.04339415805176,7.24896265560166,0.16900062812569555,0.8840915438755442,12.607213753862231,108168
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,test,default_0_50,0.5,18358,18358,1133,17225,295,78190,0.061716962632095,0.938283037367905,0.7934173669467787,0.18052717078027564,0.20658263305322128,0.8194728292197243,0.8194728292197243,0.1895645529361957,0.014745515938167962,4.185473257829115,4.185473257829115,15.203000882612534,0.20600009386313498,0.8870992939438522,13.97035510503332,96843
