mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_features__add_log_features,param_features__add_missing_flags,param_features__add_outlier_flags,param_model__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__ccp_alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__min_child_weight,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample,param_model__min_child_samples,param_model__num_leaves,param_weights
17.04755663871765,0.0,0.45406603813171387,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__colsample_bytree': np.float64(0.8829989973347863), 'model__gamma': np.float64(2.499584735208493), 'model__learning_rate': np.float64(0.016809415579919437), 'model__max_depth': 3, 'model__min_child_weight': 4, 'model__n_estimators': 109, 'model__reg_lambda': np.float64(3.6385753170854684), 'model__scale_pos_weight': np.float64(96.53269537480064), 'model__subsample': np.float64(0.8275467623473733)}",0.10743303722735495,0.10743303722735495,0.0,6,XGBoost,,3,,,,109.0,0.8829989973347863,2.499584735208493,0.016809415579919437,4.0,3.6385753170854684,96.53269537480064,0.8275467623473733,,,
9.778264999389648,0.0,0.2600839138031006,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__colsample_bytree': np.float64(0.7554563366576581), 'model__gamma': np.float64(2.9087538832936755), 'model__learning_rate': np.float64(0.10196967939171485), 'model__max_depth': 4, 'model__min_child_weight': 4, 'model__n_estimators': 73, 'model__reg_lambda': np.float64(4.417460613160028), 'model__scale_pos_weight': np.float64(120.6658692185008), 'model__subsample': np.float64(0.7265477506155757)}",0.16095438327000602,0.16095438327000602,0.0,2,XGBoost,,4,,,,73.0,0.7554563366576581,2.9087538832936755,0.10196967939171485,4.0,4.417460613160028,120.6658692185008,0.7265477506155757,,,
1.3700740337371826,0.0,0.1823287010192871,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__colsample_bytree': np.float64(0.7550304369598491), 'model__learning_rate': np.float64(0.10337163339642635), 'model__max_depth': 3, 'model__min_child_samples': 182, 'model__n_estimators': 73, 'model__num_leaves': 17, 'model__reg_lambda': np.float64(0.10994335574766201), 'model__scale_pos_weight': np.float64(96.53269537480064), 'model__subsample': np.float64(0.9165996316800473)}",0.13129902606850274,0.13129902606850274,0.0,4,LightGBM,,3,,,,73.0,0.7550304369598491,,0.10337163339642635,,0.10994335574766201,96.53269537480064,0.9165996316800473,182.0,17.0,
0.8847243785858154,0.0,0.09763360023498535,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__colsample_bytree': np.float64(0.7545474901621302), 'model__learning_rate': np.float64(0.017322667470546258), 'model__max_depth': -1, 'model__min_child_samples': 137, 'model__n_estimators': 71, 'model__num_leaves': 39, 'model__reg_lambda': np.float64(0.38234752246751863), 'model__scale_pos_weight': np.float64(120.6658692185008), 'model__subsample': np.float64(0.8199582915145766)}",0.14174949461084413,0.14174949461084413,0.0,2,LightGBM,,-1,,,,71.0,0.7545474901621302,,0.017322667470546258,,0.38234752246751863,120.6658692185008,0.8199582915145766,137.0,39.0,
0.8559000492095947,0.0,0.10750579833984375,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__colsample_bytree': np.float64(0.8099085529881075), 'model__learning_rate': np.float64(0.03920673972242137), 'model__max_depth': 8, 'model__min_child_samples': 269, 'model__n_estimators': 100, 'model__num_leaves': 17, 'model__reg_lambda': np.float64(5.2466345336252855), 'model__scale_pos_weight': np.float64(120.6658692185008), 'model__subsample': np.float64(0.7511572371061874)}",0.1420568477658535,0.1420568477658535,0.0,1,LightGBM,,8,,,,100.0,0.8099085529881075,,0.03920673972242137,,5.2466345336252855,120.6658692185008,0.7511572371061874,269.0,17.0,
0.8721725940704346,0.0,0.11134719848632812,0.0,True,False,False,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__colsample_bytree': np.float64(0.9826605267054558), 'model__learning_rate': np.float64(0.05405736440453861), 'model__max_depth': 5, 'model__min_child_samples': 88, 'model__n_estimators': 102, 'model__num_leaves': 16, 'model__reg_lambda': np.float64(2.3359635026261603), 'model__scale_pos_weight': np.float64(120.6658692185008), 'model__subsample': np.float64(0.9049790556476374)}",0.139140733560164,0.139140733560164,0.0,3,LightGBM,,5,,,,102.0,0.9826605267054558,,0.05405736440453861,,2.3359635026261603,120.6658692185008,0.9049790556476374,88.0,16.0,
9.290619850158691,0.0,1.8671917915344238,0.0,,,,,"{'weights': (1, 1, 1)}",0.15999372716519464,0.15999372716519464,0.0,2,Voting Classifier,,,,,,,,,,,,,,,,"(1, 1, 1)"
12.602724313735962,0.0,0.5682382583618164,0.0,,,,,"{'weights': (2, 1, 1)}",0.15789035722314476,0.15789035722314476,0.0,4,Voting Classifier,,,,,,,,,,,,,,,,"(2, 1, 1)"
8.230372428894043,0.0,0.3152289390563965,0.0,,,,,"{'weights': (1, 2, 1)}",0.158972760331467,0.158972760331467,0.0,3,Voting Classifier,,,,,,,,,,,,,,,,"(1, 2, 1)"
7.972504377365112,0.0,0.9112772941589355,0.0,,,,,"{'weights': (1, 1, 2)}",0.1635082580536903,0.1635082580536903,0.0,1,Voting Classifier,,,,,,,,,,,,,,,,"(1, 1, 2)"
