housing_status,n_with_housing,fraud_count_with_housing,legitimate_count_with_housing,fraud_rate_with_housing,alert_count_with_housing,alert_rate_with_housing,precision_with_housing,recall_tpr_with_housing,fpr_with_housing,fnr_with_housing,tn_with_housing,fp_with_housing,fn_with_housing,tp_with_housing,small_group_warning_with_housing,model_with_housing,model_family,feature_policy_with_housing,split,threshold_policy,threshold_with_housing,n_without_housing,fraud_count_without_housing,legitimate_count_without_housing,fraud_rate_without_housing,alert_count_without_housing,alert_rate_without_housing,precision_without_housing,recall_tpr_without_housing,fpr_without_housing,fnr_without_housing,tn_without_housing,fp_without_housing,fn_without_housing,tp_without_housing,small_group_warning_without_housing,model_without_housing,feature_policy_without_housing,threshold_without_housing,alert_rate_delta_with_minus_without,precision_delta_with_minus_without,recall_tpr_delta_with_minus_without,fpr_delta_with_minus_without,fnr_delta_with_minus_without
BE,17599,84,17515,0.0047729984658219215,102,0.005795783851355191,0.08823529411764706,0.10714285714285714,0.005309734513274336,0.8928571428571429,17422,93,75,9,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,17599,84,17515,0.0047729984658219215,338,0.019205636683902495,0.05325443786982249,0.21428571428571427,0.018270054239223524,0.7857142857142857,17195,320,66,18,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.013409852832547305,0.03498085624782458,-0.10714285714285714,-0.012960319725949188,0.1071428571428572
BD,3727,28,3699,0.007512744834987926,144,0.03863697343708076,0.06944444444444445,0.35714285714285715,0.036226007028926734,0.6428571428571429,3565,134,18,10,False,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,3727,28,3699,0.007512744834987926,181,0.04856452911188624,0.055248618784530384,0.35714285714285715,0.046228710462287104,0.6428571428571429,3528,171,18,10,False,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,-0.00992755567480548,0.014195825659914063,0.0,-0.01000270343336037,0.0
BF,176,0,176,0.0,8,0.045454545454545456,0.0,,0.045454545454545456,,168,8,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,176,0,176,0.0,5,0.028409090909090908,0.0,,0.028409090909090908,,171,5,0,0,True,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.017045454545454548,0.0,,0.017045454545454548,
BG,24,0,24,0.0,3,0.125,0.0,,0.125,,21,3,0,0,True,CatBoost | with_housing_status,CatBoost,with_housing_status,validation,valid_global_5pct_fpr,0.7584774474715957,24,0,24,0.0,2,0.08333333333333333,0.0,,0.08333333333333333,,22,2,0,0,True,CatBoost | without_housing_status,without_housing_status,0.7590023405894702,0.04166666666666667,0.0,,0.04166666666666667,
BC,37502,266,37236,0.007092955042397739,2503,0.06674310703429151,0.055533359968038355,0.5225563909774437,0.06348694811472769,0.4774436090225564,34872,2364,127,139,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,37502,266,37236,0.007092955042397739,3235,0.08626206602314543,0.04544049459041731,0.5526315789473685,0.08293049736813836,0.4473684210526316,34148,3088,119,147,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.01951895898885392,0.010092865377621045,-0.03007518796992481,-0.019443549253410672,0.03007518796992481
BB,23213,166,23047,0.007151165295308663,1925,0.08292766984017576,0.04831168831168831,0.5602409638554217,0.0794897383607411,0.4397590361445783,21215,1832,73,93,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,23213,166,23047,0.007151165295308663,2926,0.12605005815706716,0.036568694463431306,0.6445783132530121,0.12231526879854211,0.35542168674698793,20228,2819,59,107,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.0431223883168914,0.011742993848257006,-0.08433734939759041,-0.04282553043780102,0.08433734939759036
BA,19182,899,18283,0.04686685434261287,8220,0.4285267438223334,0.09549878345498783,0.8731924360400445,0.406661926379697,0.12680756395995552,10848,7435,114,785,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,19182,899,18283,0.04686685434261287,6252,0.32593055989990616,0.11468330134357006,0.7975528364849833,0.30274025050593445,0.20244716351501668,12748,5535,182,717,False,CatBoost | without_housing_status,without_housing_status,0.5,0.10259618392242725,-0.019184517888582234,0.07563959955506117,0.10392167587376255,-0.07563959955506117
BE,12327,54,12273,0.004380627889997567,511,0.04145371947756956,0.0273972602739726,0.25925925925925924,0.04049539639859855,0.7407407407407407,11776,497,40,14,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,12327,54,12273,0.004380627889997567,1078,0.08745031232254401,0.022263450834879406,0.4444444444444444,0.0858795730465249,0.5555555555555556,11219,1054,30,24,False,CatBoost | without_housing_status,without_housing_status,0.5,-0.04599659284497445,0.005133809439093195,-0.18518518518518517,-0.04538417664792634,0.18518518518518512
BD,4478,42,4436,0.009379187137114784,600,0.13398838767306834,0.043333333333333335,0.6190476190476191,0.12939585211902616,0.38095238095238093,3862,574,16,26,False,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,4478,42,4436,0.009379187137114784,546,0.12192943278249219,0.05128205128205128,0.6666666666666666,0.11677186654643823,0.3333333333333333,3918,518,14,28,False,CatBoost | without_housing_status,without_housing_status,0.5,0.012058954890576151,-0.007948717948717945,-0.04761904761904756,0.012623985572587926,0.047619047619047616
BF,135,1,134,0.007407407407407408,15,0.1111111111111111,0.06666666666666667,1.0,0.1044776119402985,0.0,120,14,0,1,True,CatBoost | with_housing_status,CatBoost,with_housing_status,test,default_0_50,0.5,135,1,134,0.007407407407407408,12,0.08888888888888889,0.08333333333333333,1.0,0.08208955223880597,0.0,123,11,0,1,True,CatBoost | without_housing_status,without_housing_status,0.5,0.022222222222222213,-0.016666666666666663,0.0,0.022388059701492533,0.0
