model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,22669,22669,1196,21473,254,85245,0.052759274780537296,0.9472407252194627,0.8248275862068966,0.20121254146442025,0.17517241379310344,0.7987874585355798,0.7987874585355798,0.20957214703054508,0.013405073589231566,3.935769127214592,3.935769127214592,17.954013377926422,0.1771672128672742,0.8904671254114129,13.216429711329182,108168
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8307763525608923,4863,4863,757,4106,671,91309,0.1556652272259922,0.8443347727740078,0.5301120448179272,0.04303306607975685,0.4698879551820728,0.9569669339202431,0.9569669339202431,0.05021529692388712,0.014745515938167962,10.556784033786247,10.556784033786247,5.424042272126816,0.20772839734547338,0.8876539401590956,14.087563854431147,96843
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,11615,11615,908,10707,542,96011,0.07817477399913904,0.9218252260008609,0.6262068965517241,0.10032984126389176,0.3737931034482759,0.8996701587361082,0.8996701587361082,0.10737926188891354,0.013405073589231566,5.83173031306129,5.83173031306129,11.791850220264317,0.15081675746983647,0.8758644212817409,11.250722084136049,108168
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6338067206946842,6003,6003,695,5308,755,101410,0.11577544561052806,0.8842245543894719,0.4793103448275862,0.04973856331640398,0.5206896551724138,0.950261436683596,0.950261436683596,0.05549700465941868,0.013405073589231566,8.636688552275585,8.636688552275585,7.637410071942446,0.15081675746983647,0.8758644212817409,11.250722084136049,108168
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,8814,8814,882,7932,546,87483,0.10006807351940095,0.899931926480599,0.6176470588235294,0.08313158308442069,0.38235294117647056,0.9168684169155793,0.9168684169155793,0.09101328955112915,0.014745515938167962,6.786339246386096,6.786339246386096,8.993197278911564,0.1735993410436421,0.8751938641620248,11.77302589964246,96843
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.6338067206946842,4361,4361,654,3707,774,91708,0.1499656042192158,0.8500343957807842,0.4579831932773109,0.03885133364774931,0.542016806722689,0.9611486663522507,0.9611486663522507,0.04503164916411098,0.014745515938167962,10.170251407143917,10.170251407143917,5.6681957186544345,0.1735993410436421,0.8751938641620248,11.77302589964246,96843
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,21857,21857,1166,20691,284,86027,0.05334675390035229,0.9466532460996477,0.8041379310344827,0.19388481793137052,0.19586206896551725,0.8061151820686294,0.8061151820686294,0.2020653058205754,0.013405073589231566,3.979594259236763,3.979594259236763,17.745283018867923,0.16229453105000458,0.8844870625838902,12.106948161804755,108168
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8120249228561285,6065,6065,730,5335,720,101383,0.12036273701566365,0.8796372629843363,0.503448275862069,0.04999156655859368,0.496551724137931,0.9500084334414063,0.9500084334414063,0.05607018711633755,0.013405073589231566,8.978894163800211,8.978894163800211,7.308219178082192,0.16229453105000458,0.8844870625838902,12.106948161804755,108168
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,17406,17406,1127,16279,301,79136,0.06474778811903942,0.9352522118809605,0.7892156862745098,0.17061258711942567,0.2107843137254902,0.8293874128805744,0.8293874128805744,0.17973420897741704,0.014745515938167962,4.391015437543511,4.391015437543511,14.444543034605147,0.19533362410378746,0.8877064602500855,13.246984705240259,96843
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8120249228561285,4739,4739,711,4028,717,91387,0.15003165224730955,0.8499683477526905,0.49789915966386555,0.042215584551695225,0.5021008403361344,0.9577844154483047,0.9577844154483047,0.04893487397127309,0.014745515938167962,10.17473060125084,10.17473060125084,5.665260196905766,0.19533362410378746,0.8877064602500855,13.246984705240259,96843
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,default_0_50,0.5,23584,23584,1052,22532,398,84186,0.04460651289009498,0.955393487109905,0.7255172413793104,0.2111358908525272,0.27448275862068966,0.7888641091474727,0.7888641091474727,0.21803121070926706,0.013405073589231566,3.327584335376409,3.327584335376409,21.418250950570343,0.09967206556957789,0.8143729590910236,7.435398612779379,108168
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8320181487406233,5889,5889,586,5303,864,101415,0.09950755646119884,0.9004924435388012,0.40413793103448276,0.04969171086414663,0.5958620689655172,0.9503082891358534,0.9503082891358534,0.05444308852895496,0.013405073589231566,7.4231264602034175,7.4231264602034175,9.049488054607508,0.09967206556957789,0.8143729590910236,7.435398612779379,108168
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,default_0_50,0.5,19349,19349,1046,18303,382,77112,0.05405964132513308,0.9459403586748669,0.7324929971988795,0.19182518471938376,0.26750700280112044,0.8081748152806163,0.8081748152806163,0.19979761056555456,0.014745515938167962,3.666174961379456,3.666174961379456,17.498087954110897,0.115934669774673,0.8261237618770193,7.862367804613905,96843
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,0.8320181487406233,4730,4730,580,4150,848,91265,0.1226215644820296,0.8773784355179703,0.4061624649859944,0.043494209505842894,0.5938375350140056,0.9565057904941571,0.9565057904941571,0.04884194004729304,0.014745515938167962,8.315854460177306,8.315854460177306,7.155172413793103,0.115934669774673,0.8261237618770193,7.862367804613905,96843
