model,parent_feature,mean_abs_shap,mean_shap,n_rows
advanced_gate | CatBoost,foreign_request,0.013355698751774841,-0.0003715611818788228,1500
advanced_gate | CatBoost,session_length_per_device_email,0.007937078542842833,-0.0001221606320313708,1500
advanced_gate | CatBoost,phone_mobile_valid,0.00704595650262165,-0.001485479234624777,1500
advanced_gate | CatBoost,log1p_session_length_in_minutes,0.005565715690320045,-0.0013679153532365567,1500
advanced_gate | CatBoost,device_fraud_count,0.0,0.0,1500
advanced_gate | CatBoost,source,0.0,0.0,1500
balance_gate | XGBoost | class_weight,phone_home_valid,0.3768870486364681,-0.0219656418207672,1500
balance_gate | XGBoost | class_weight,device_os,0.374262191398496,-0.0014660203774174475,1500
balance_gate | XGBoost | class_weight,name_email_similarity,0.30695463041254806,-0.046046708103368104,1500
balance_gate | XGBoost | class_weight,prev_address_months_count,0.3022771531920201,-0.06413173457088997,1500
balance_gate | XGBoost | class_weight,housing_status,0.28373498292092736,0.07588333010561725,1500
balance_gate | XGBoost | class_weight,has_other_cards,0.2811319275482605,-0.05553609065612244,1500
balance_gate | XGBoost | class_weight,keep_alive_session,0.2712820960667339,-0.016297862119015575,1500
balance_gate | XGBoost | class_weight,current_address_months_count,0.2641723667494095,-0.023870653275801644,1500
balance_gate | XGBoost | class_weight,email_is_free,0.23226664916523404,9.777517910855179e-05,1500
balance_gate | XGBoost | class_weight,income,0.22195039043102102,0.0028495883836884357,1500
balance_gate | XGBoost | class_weight,intended_balcon_amount,0.21270252633630043,0.029860454955738386,1500
balance_gate | XGBoost | class_weight,bank_branch_count_8w,0.16598803005641094,-0.0008324403766922962,1500
balance_gate | XGBoost | class_weight,employment_status,0.12067415334320629,0.0017665400834061427,1500
balance_gate | XGBoost | class_weight,credit_risk_score,0.10978270733231796,-0.0010841128893181056,1500
balance_gate | XGBoost | class_weight,date_of_birth_distinct_emails_4w,0.09781580671987439,0.009695405837087698,1500
balance_gate | XGBoost | class_weight,velocity_4w,0.09676796424573676,0.0008443888001772578,1500
balance_gate | XGBoost | class_weight,customer_age,0.095804071161707,0.015718461992339384,1500
balance_gate | XGBoost | class_weight,days_since_request,0.06861990728309418,-0.00450825550789518,1500
balance_gate | XGBoost | class_weight,zip_count_4w,0.06384203516431997,0.0003077595725068624,1500
balance_gate | XGBoost | class_weight,bank_months_count,0.05609121051020901,0.012799917816841625,1500
balance_gate | XGBoost | class_weight,payment_type,0.035880425987723674,0.001997467858446374,1500
balance_gate | XGBoost | class_weight,velocity_24h,0.030063736617295268,0.0049189483703721395,1500
balance_gate | XGBoost | class_weight,proposed_credit_limit,0.0238781383148185,0.007664152220766215,1500
balance_gate | XGBoost | class_weight,device_distinct_emails_8w,0.023223332835927528,0.008552772376507442,1500
balance_gate | XGBoost | class_weight,phone_mobile_valid,0.014238008871459944,-0.002905957407267221,1500
balance_gate | XGBoost | class_weight,session_length_in_minutes,0.012357863793150755,0.0006029482027325625,1500
balance_gate | XGBoost | class_weight,foreign_request,0.012048622527878422,-0.0015238210874283684,1500
balance_gate | XGBoost | class_weight,velocity_6h,0.008786299942042679,0.000974532772600651,1500
balance_gate | XGBoost | class_weight,device_fraud_count,0.0,0.0,1500
balance_gate | XGBoost | class_weight,month,0.0,0.0,1500
balance_gate | XGBoost | class_weight,source,0.0,0.0,1500
