model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,41-50,9725,0.026323907455012854,0.067866323907455,0.2287878787878788,0.7712121212121212,0.58984375,0.41015625,0.053754356320625196,0.9462456436793748,151,509,105,8960
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,customer_age_group,51+,2942,0.055064581917063225,0.10808973487423522,0.2861635220125786,0.7138364779874213,0.5617283950617284,0.4382716049382716,0.08165467625899281,0.9183453237410072,91,227,71,2553
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,high_0.7_0.9,64414,0.01797745831651504,0.03716583351445338,0.2121971595655806,0.7878028404344194,0.4386873920552677,0.5613126079447323,0.02981535348425446,0.9701846465157455,508,1886,650,61370
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,low_0.1_0.3,20645,0.007217243884717849,0.00910632114313393,0.23404255319148937,0.7659574468085106,0.2953020134228188,0.7046979865771812,0.00702576112412178,0.9929742388758782,44,144,105,20352
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,valid_cost_sensitive_10_to_1,income_group,mid_0.4_0.6,11784,0.01026816021724372,0.013832315003394434,0.2331288343558282,0.7668711656441718,0.3140495867768595,0.6859504132231405,0.010717654119866244,0.9892823458801338,38,125,83,11538
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BA,19182,0.04686685434261287,0.1975289333750391,0.1636315650567432,0.8363684349432567,0.6896551724137931,0.3103448275862069,0.1733304162336597,0.8266695837663404,620,3169,279,15114
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BB,23213,0.007151165295308663,0.015551630551845948,0.13850415512465375,0.8614958448753463,0.30120481927710846,0.6987951807228916,0.013494164099448952,0.9865058359005511,50,311,116,22736
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BC,37502,0.007092955042397739,0.010452775851954562,0.16581632653061223,0.8341836734693877,0.24436090225563908,0.7556390977443609,0.008781824041250403,0.9912181759587496,65,327,201,36909
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BD,4478,0.009379187137114784,0.021661456007146047,0.15463917525773196,0.845360824742268,0.35714285714285715,0.6428571428571429,0.01848512173128945,0.9815148782687105,15,82,27,4354
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BE,12327,0.004380627889997567,0.00356940050296098,0.11363636363636363,0.8863636363636364,0.09259259259259259,0.9074074074074074,0.0031777071620630653,0.9968222928379369,5,39,49,12234
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BF,135,0.007407407407407408,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,134
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,housing_status,BG,6,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0,0,0,6
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CA,74882,0.01595844128094869,0.05379129830934003,0.16236345580933464,0.8376365441906654,0.5472803347280335,0.45271966527196655,0.04578826658705063,0.9542117334129494,654,3374,541,70313
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,valid_global_5pct_fpr,employment_status,CB,11275,0.010199556541019957,0.029623059866962308,0.1317365269461078,0.8682634730538922,0.3826086956521739,0.6173913043478261,0.025985663082437275,0.9740143369175627,44,290,71,10870
