model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9689190983772278,6088,6088,756,5332,694,101386,0.1241787122207621,0.8758212877792378,0.5213793103448275,0.0499634550872392,0.4786206896551724,0.9500365449127608,0.9500365449127608,0.0562828193180977,0.0134050735892315,9.263560650686482,9.263560650686482,7.052910052910053,0.1764799544429129,0.8891045462388467,13.165161180814486,108168
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,58246,58246,1388,56858,40,38557,0.0238299625725371,0.9761700374274628,0.9719887955182072,0.5959021118272808,0.0280112044817927,0.4040978881727192,0.4040978881727192,0.6014477040157781,0.0147455159381679,1.616081978579984,1.616081978579984,40.96397694524496,0.1940814216270745,0.8916278197072467,13.162063805763854,96843
balance_gate | XGBoost | random_oversampling,balance_gate,XGBoost,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.9689190983772278,4473,4473,728,3745,700,91670,0.162754303599374,0.837245696400626,0.5098039215686274,0.039249593879369,0.4901960784313725,0.9607504061206308,0.9607504061206308,0.0461881602180849,0.0147455159381679,11.037545534645783,11.037545534645783,5.144230769230769,0.1940814216270745,0.8916278197072467,13.162063805763854,96843
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,default_0_50,0.5,26121,26121,1238,24883,212,81835,0.0473948164312239,0.952605183568776,0.8537931034482759,0.2331659139039337,0.1462068965517241,0.7668340860960663,0.7668340860960663,0.2414854670512536,0.0134050735892315,3.535587933608709,3.535587933608709,20.09935379644588,0.1635258452328522,0.8871653717079689,12.198802501480802,108168
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8540791869163513,6059,6059,724,5335,726,101383,0.1194916652913022,0.8805083347086978,0.4993103448275862,0.0499915665585936,0.5006896551724138,0.9500084334414064,0.9500084334414064,0.0560147178463131,0.0134050735892315,8.913913414641087,8.913913414641087,7.36878453038674,0.1635258452328522,0.8871653717079689,12.198802501480802,108168
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,default_0_50,0.5,20627,20627,1176,19451,252,75964,0.057012653318466,0.942987346681534,0.8235294117647058,0.2038568359272651,0.1764705882352941,0.7961431640727349,0.7961431640727349,0.2129942277707217,0.0147455159381679,3.866440045742445,3.866440045742445,16.53996598639456,0.1966244221919924,0.8893829601221613,13.334523052058213,96843
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8540791869163513,4777,4777,729,4048,699,91367,0.1526062382248273,0.8473937617751727,0.5105042016806722,0.0424251951999161,0.4894957983193277,0.9575748048000838,0.9575748048000838,0.0493272616502999,0.0147455159381679,10.34933188263792,10.34933188263792,5.55281207133059,0.1966244221919924,0.8893829601221613,13.334523052058213,96843
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,default_0_50,0.5,23596,23596,1186,22410,264,84308,0.0502627563993897,0.9497372436006104,0.8179310344827586,0.2099926910174478,0.1820689655172414,0.7900073089825521,0.7900073089825521,0.2181421492493158,0.0134050735892315,3.749532299454613,3.749532299454613,18.895446880269816,0.1675330801159354,0.8836967812688419,12.497736696538276,108168
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.8361452176052429,6022,6022,724,5298,726,101420,0.1202258385918299,0.87977416140817,0.4993103448275862,0.0496448584118892,0.5006896551724138,0.9503551415881109,0.9503551415881109,0.0556726573478293,0.0134050735892315,8.96868173020763,8.96868173020763,7.31767955801105,0.1675330801159354,0.8836967812688419,12.497736696538276,108168
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,default_0_50,0.5,19861,19861,1162,18699,266,76716,0.0585066210160616,0.9414933789839384,0.8137254901960784,0.1959754755541581,0.1862745098039215,0.8040245244458418,0.8040245244458418,0.205084518240864,0.0147455159381679,3.967756792057743,3.967756792057743,16.092082616179002,0.2021388396413337,0.8896031210262233,13.708495551390534,96843
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.8361452176052429,5293,5293,782,4511,646,90904,0.1477423011524655,0.8522576988475344,0.5476190476190477,0.0472776817062306,0.4523809523809524,0.9527223182937692,0.9527223182937692,0.0546554732918228,0.0147455159381679,10.0194731586192,10.0194731586192,5.768542199488491,0.2021388396413337,0.8896031210262233,13.708495551390534,96843
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,default_0_50,0.5,74098,74098,1428,72670,22,34048,0.019271775216605,0.9807282247833948,0.9848275862068966,0.6809535411083416,0.0151724137931034,0.3190464588916584,0.3190464588916584,0.6850269950447452,0.0134050735892315,1.4376478493998164,1.4376478493998164,50.88935574229692,0.1602706167451894,0.8864579416845298,11.955966946271486,108168
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.9858097601700312,6078,6078,754,5324,696,101394,0.1240539651201053,0.8759460348798946,0.52,0.0498884911636275,0.48,0.9501115088363724,0.9501115088363724,0.0561903705347237,0.0134050735892315,9.254254689042448,9.254254689042448,7.061007957559681,0.1602706167451894,0.8864579416845298,11.955966946271486,108168
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,test,default_0_50,0.5,60880,60880,1391,59489,37,35926,0.0228482260183968,0.9771517739816032,0.9740896358543416,0.6234763926007442,0.0259103641456582,0.3765236073992559,0.3765236073992559,0.6286463657672728,0.0147455159381679,1.5495033279409005,1.5495033279409005,42.76707404744788,0.1942184513309399,0.8891076773422778,13.171356780281666,96843
