model,feature,mean_abs_shap,mean_shap,reportable_feature_name
balance_gate | XGBoost | class_weight,housing_status_BB,0.03260143976899907,0.0012938492550728087,True
balance_gate | XGBoost | class_weight,device_os_macintosh,0.03059219774771983,-0.0012801716164309851,True
balance_gate | XGBoost | class_weight,velocity_24h,0.030063736617295268,0.0049189483703721395,True
balance_gate | XGBoost | class_weight,proposed_credit_limit,0.023878138314818522,0.007664152220766233,True
balance_gate | XGBoost | class_weight,device_distinct_emails_8w,0.023223332835927535,0.008552772376507438,True
balance_gate | XGBoost | class_weight,employment_status_CF,0.017813301277782294,-0.0021581741154480995,True
balance_gate | XGBoost | class_weight,phone_mobile_valid,0.014238008871459944,-0.002905957407267226,True
balance_gate | XGBoost | class_weight,housing_status_BC,0.014184560818482855,0.0017722579619412586,True
balance_gate | XGBoost | class_weight,session_length_in_minutes,0.012357863793150754,0.0006029482027325615,True
balance_gate | XGBoost | class_weight,foreign_request,0.01204862252787841,-0.0015238210874283684,True
balance_gate | XGBoost | class_weight,velocity_6h,0.008786299942042684,0.0009745327726006514,True
balance_gate | XGBoost | class_weight,employment_status_CC,0.007428565453003788,0.00026582324443229693,True
balance_gate | XGBoost | class_weight,payment_type_AA,0.006382034746365026,-0.0006281499872108308,True
balance_gate | XGBoost | class_weight,employment_status_CB,0.004668975932928348,0.00031225439207356733,True
balance_gate | XGBoost | class_weight,employment_status_CE,0.0016314862800017001,-0.0016314862800017001,True
balance_gate | XGBoost | class_weight,housing_status_BD,0.00043221378747994706,-7.042680460338788e-05,True
