model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
anomaly_recency_gate | Logistic Regression | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.8865081004929057,0.1628996399229399,0.883098691944157,12.152088449092805,0.1898742276857998,0.8874130787356602,12.876743579675008,
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8120249228561285,0.1622945310500045,0.8844870625838902,12.106948161804755,0.1953336241037874,0.8877064602500855,13.24698470524026,100.35410356521606
anomaly_recency_gate | Logistic Regression | full_0_5 | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8120249228561285,0.1622945310500045,0.8844870625838902,12.106948161804755,0.1953336241037874,0.8877064602500855,13.24698470524026,
balance_gate | LightGBM | random_undersampling,balance_gate,LightGBM,baseline_eda_onehot,random_undersampling,train_sample,without_anomaly_scores,0.9858097601700312,0.1602706167451894,0.8864579416845298,11.955966946271486,0.1942184513309399,0.8891076773422778,13.171356780281666,
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,0.6558210290246687,0.1559508261613684,0.8616947275158313,11.633716527050272,0.1620572325350373,0.8662543736773649,10.990272108116676,8.69597601890564
anomaly_recency_gate | LightGBM | recent_3_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,without_anomaly_scores,0.8342239318322594,0.1559225493065011,0.8819603324520765,11.631607112679736,0.1962486232968745,0.8830899325091877,13.309037413122702,
anomaly_recency_gate | LightGBM | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.8428845095763257,0.1558703618796071,0.8821781608118334,11.627714002616102,0.201067670730807,0.8847257762823203,13.63585184634702,
balance_gate | Random Forest | random_oversampling,balance_gate,Random Forest,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.6730301122720159,0.1556076634276531,0.8790782022358636,11.60811706044302,0.1766613298592025,0.8809270823562879,11.980681489884276,
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.6399207700174235,0.1543480393964942,0.8793229788336777,11.514150845131022,0.175278063239611,0.8800466002048254,11.886872183693033,58.464207887649536
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.6399207700174234,0.1543480393964942,0.8793229788336777,11.514150845131022,0.175278063239611,0.8800466002048254,11.886872183693033,
