model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,default_0_50,0.5,26230,26230,1153,25077,297,81641,0.043957300800609986,0.95604269919939,0.7951724137931034,0.23498378905151895,0.20482758620689656,0.765016210948481,0.765016210948481,0.24249315879003033,0.013405073589231566,3.27915400896578,3.27915400896578,21.749349522983522,0.11668308310996305,0.8537636316402042,8.704397057819643,108168
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,valid_global_5pct_fpr,0.6579119809738087,4476,4476,104,4372,1324,91043,0.02323503127792672,0.9767649687220733,0.07282913165266107,0.045820887701095214,0.927170868347339,0.9541791122989047,0.9541791122989047,0.04621913819274496,0.014745515938167962,1.5757353879889757,1.5757353879889757,42.03846153846154,0.018788139353833437,0.4532983475840685,1.2741595094140696,96843
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,validation,default_0_50,0.5,87696,87696,1157,86539,293,20179,0.013193304141580004,0.98680669585842,0.7979310344827586,0.8109128731797822,0.20206896551724138,0.18908712682021778,0.18908712682021778,0.8107388506767251,0.013405073589231566,0.9842022913009834,0.9842022913009834,74.79602420051859,0.021138888572217584,0.4595041911941947,1.5769319303997458,108168
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6469931123133273,5484,5484,152,5332,1298,101386,0.027716994894237783,0.9722830051057623,0.10482758620689656,0.04996345508723927,0.8951724137931034,0.9500365449127607,0.9500365449127607,0.050698912802307525,0.013405073589231566,2.0676495887723534,2.0676495887723534,35.078947368421055,0.021138888572217584,0.4595041911941947,1.5769319303997458,108168
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,test,default_0_50,0.5,76499,76499,1080,75419,348,19996,0.014117831605641904,0.985882168394358,0.7563025210084033,0.7904312739087146,0.24369747899159663,0.20956872609128543,0.20956872609128543,0.7899280278388733,0.014745515938167962,0.9574321892053074,0.9574321892053074,69.8324074074074,0.033721658251171543,0.47463658313506185,2.286909348752245,96843
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,test,valid_global_5pct_fpr,0.6469931123133273,3090,3090,132,2958,1296,92457,0.04271844660194175,0.9572815533980582,0.09243697478991597,0.03100141487187549,0.907563025210084,0.9689985851281245,0.9689985851281245,0.03190731389981723,0.014745515938167962,2.897046585624541,2.897046585624541,22.40909090909091,0.033721658251171543,0.47463658313506185,2.286909348752245,96843
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,default_0_50,0.5,28135,28135,1196,26939,254,79779,0.042509330015994315,0.9574906699840057,0.8248275862068966,0.25243164227215653,0.17517241379310344,0.7475683577278435,0.7475683577278435,0.2601046520227794,0.013405073589231566,3.171137385634533,3.171137385634533,22.524247491638796,0.15415001306506076,0.8640104503586958,11.499378353945856,108168
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6393060393297898,6019,6019,699,5320,751,101398,0.11613224788170792,0.883867752118292,0.4820689655172414,0.049851009201821624,0.5179310344827586,0.9501489907981784,0.9501489907981784,0.055644922712817096,0.013405073589231566,8.66330550956454,8.66330550956454,7.6108726752503575,0.15415001306506076,0.8640104503586958,11.499378353945856,108168
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,default_0_50,0.5,22159,22159,1145,21014,283,74401,0.05167200685951532,0.9483279931404847,0.8018207282913166,0.22023790808573077,0.19817927170868346,0.7797620919142693,0.7797620919142693,0.2288136468304369,0.014745515938167962,3.5042522130924665,3.5042522130924665,18.3528384279476,0.18416743663301066,0.8687082494266899,12.489724836029868,96843
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,test,valid_global_5pct_fpr,0.6393060393297898,4329,4329,684,3645,744,91770,0.158004158004158,0.841995841995842,0.4789915966386555,0.038201540638264427,0.5210084033613446,0.9617984593617356,0.9617984593617356,0.04470121743440414,0.014745515938167962,10.715403833050893,10.715403833050893,5.328947368421052,0.18416743663301066,0.8687082494266899,12.489724836029868,96843
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,validation,default_0_50,0.5,27763,27763,1171,26592,279,80126,0.0421784389295105,0.9578215610704895,0.8075862068965517,0.24918008208549636,0.19241379310344828,0.7508199179145036,0.7508199179145036,0.25666555728126617,0.013405073589231566,3.146453366984339,3.146453366984339,22.708795900939368,0.1559508261613684,0.8616947275158313,11.633716527050273,108168
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,validation,valid_global_5pct_fpr,0.6558210290246687,6027,6027,705,5322,745,101396,0.11697361871577899,0.883026381284221,0.4862068965517241,0.04986975018272456,0.5137931034482759,0.9501302498172755,0.9501302498172755,0.05571888173951631,0.013405073589231566,8.726070613274747,8.726070613274747,7.548936170212766,0.1559508261613684,0.8616947275158313,11.633716527050273,108168
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,test,default_0_50,0.5,23020,23020,1145,21875,283,73540,0.0497393570807993,0.9502606429192006,0.8018207282913166,0.22926164649164177,0.19817927170868346,0.7707383535083582,0.7707383535083582,0.2377043255578617,0.014745515938167962,3.3731852645489124,3.3731852645489124,19.104803493449783,0.1620572325350373,0.8662543736773649,10.990272108116677,96843
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,test,valid_global_5pct_fpr,0.6558210290246687,4876,4876,691,4185,737,91230,0.14171452009844135,0.8582854799015587,0.4838935574229692,0.043861028140229526,0.5161064425770309,0.9561389718597705,0.9561389718597705,0.05034953481408052,0.014745515938167962,9.610685763230641,9.610685763230641,6.05643994211288,0.1620572325350373,0.8662543736773649,10.990272108116677,96843
