model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.09090909090909091,0.02702702702702703,0.004060089321965083,0.06972103910532132,0.7867904445249148,2453,10,36,1
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.35801272219629,0.07936507936507936,0.13513513513513514,0.023548518067397484,0.06972103910532132,0.7867904445249148,2405,58,32,5
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.15,0.08823529411764706,0.006893755068937551,0.0918770786563758,0.7820476122322407,2449,17,31,3
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.24684435936673232,0.1308411214953271,0.4117647058823529,0.037712895377128956,0.0918770786563758,0.7820476122322407,2373,93,20,14
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.3333333333333333,0.08108108108108109,0.00243605359317905,0.12856754678597634,0.8333936860124437,2457,6,34,3
balance_gate | Logistic Regression | random_oversampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_oversampling,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.24684435936673232,0.1702127659574468,0.21621621621621623,0.015834348355663823,0.12856754678597634,0.8333936860124437,2424,39,29,8
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.17391304347826086,0.11764705882352941,0.007704785077047851,0.08941566209403076,0.779089738085015,2447,19,30,4
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.2259750260851991,0.1044776119402985,0.4117647058823529,0.04866180048661801,0.08941566209403076,0.779089738085015,2346,120,20,14
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.3333333333333333,0.10810810810810811,0.0032480714575720666,0.11895863654720601,0.8283350341815627,2455,8,33,4
balance_gate | Logistic Regression | smote,balance_gate,Logistic Regression,baseline_eda_onehot_dense,smote,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.2259750260851991,0.11290322580645161,0.1891891891891892,0.022330491270807957,0.11895863654720601,0.8283350341815627,2408,55,30,7
balance_gate | Random Forest | no_balance,balance_gate,Random Forest,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0,0.0,0.0,0.07025161481405867,0.7661251848671342,2466,0,34,0
balance_gate | Random Forest | no_balance,balance_gate,Random Forest,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.02539859602803537,0.09302325581395349,0.35294117647058826,0.04744525547445255,0.07025161481405867,0.7661251848671342,2349,117,22,12
balance_gate | Random Forest | no_balance,balance_gate,Random Forest,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.0,0.0,0.0,0.08456635941076358,0.7737652390514753,2463,0,37,0
balance_gate | Random Forest | no_balance,balance_gate,Random Forest,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.02539859602803537,0.06923076923076923,0.24324324324324326,0.04912708079577751,0.08456635941076358,0.7737652390514753,2342,121,28,9
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.07142857142857142,0.11764705882352941,0.021086780210867802,0.06363446658414128,0.7774199704212584,2414,52,30,4
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.44660485971371744,0.09401709401709402,0.3235294117647059,0.042984590429845905,0.06363446658414128,0.7774199704212584,2360,106,23,11
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.12962962962962962,0.1891891891891892,0.01908241981323589,0.09030430600321929,0.7876683016756099,2416,47,30,7
balance_gate | Random Forest | class_weight,balance_gate,Random Forest,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.44660485971371744,0.0967741935483871,0.24324324324324326,0.0341047503045067,0.09030430600321929,0.7876683016756099,2379,84,28,9
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0,0.0,0.0,0.04846243209808487,0.7717427603644864,2466,0,34,0
balance_gate | Random Forest | random_undersampling,balance_gate,Random Forest,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.22864795790441259,0.07964601769911504,0.2647058823529412,0.042173560421735604,0.04846243209808487,0.7717427603644864,2362,104,25,9
